Stats downloaded from Daily Fantasy Sports Australia (@DFSAustralia)
Help us to continue providing free content by buying a beer: https://ko-fi.com/dfsaustralia

player,team,opponent,year,round,kicks,handballs,marks,tackles,hitouts,ruckContests,freesFor,freesAgainst,goals,behinds,cbas,kickins,kickinsPlayon,tog,fantasyPoints,superCoachPoints,namedPosition
Reilly O'Brien,ADE,PTA,2025,9,8,9,5,5,40,84,4,0,0,0,25,0,0,92,121,100,RK
James Peatling,ADE,PTA,2025,9,15,9,3,12,0,0,3,2,0,0,21,0,0,72,117,117,RR
Riley Thilthorpe,ADE,PTA,2025,9,11,4,10,1,4,9,1,2,3,0,2,0,0,82,92,113,CHF
Ben Keays,ADE,PTA,2025,9,14,7,5,2,0,0,2,1,2,1,0,0,0,86,91,94,HFFL
Josh Worrell,ADE,PTA,2025,9,21,2,5,1,0,0,1,1,0,0,0,4,4,84,84,115,BPL
Mark Keane,ADE,PTA,2025,9,14,4,6,4,0,0,1,2,0,0,0,2,2,100,79,99,CHB
Jordan Dawson,ADE,PTA,2025,9,11,3,2,9,0,1,0,1,0,0,24,0,0,83,78,78,C
Alex Neal-Bullen,ADE,PTA,2025,9,9,6,1,7,0,0,0,0,1,1,0,0,0,82,77,75,FPR
Izak Rankine,ADE,PTA,2025,9,11,5,3,3,0,0,1,0,2,0,10,0,0,89,77,97,R
Jake Soligo,ADE,PTA,2025,9,12,5,2,7,0,0,1,2,0,0,20,0,0,69,75,80,INT
Taylor Walker,ADE,PTA,2025,9,10,3,5,4,2,8,1,1,0,2,1,0,0,71,69,73,FF
Darcy Fogarty,ADE,PTA,2025,9,9,3,5,1,0,0,1,1,3,0,0,0,0,85,68,85,FPL
Rory Laird,ADE,PTA,2025,9,11,7,4,2,0,0,0,1,0,0,0,0,0,86,64,91,BPR
Wayne Milera,ADE,PTA,2025,9,6,9,4,4,0,0,0,1,0,0,0,1,1,84,61,73,HBFL
Luke Nankervis,ADE,PTA,2025,9,9,7,3,1,0,0,0,0,0,1,0,0,0,77,55,61,WR
Josh Rachele,ADE,PTA,2025,9,4,3,2,3,0,0,0,0,2,0,3,0,0,82,48,58,HFFR
Isaac Cumming,ADE,PTA,2025,9,8,4,3,2,0,0,1,1,0,0,0,1,1,82,47,36,WL
Zac Taylor,ADE,PTA,2025,9,3,5,3,3,0,0,0,0,0,0,0,0,0,75,40,35,INT
Mitchell Hinge,ADE,PTA,2025,9,8,3,2,1,0,0,1,1,0,0,0,4,4,75,38,45,INT
Sam Berry,ADE,PTA,2025,9,5,2,0,4,0,0,0,1,0,1,6,0,0,30,33,43,SUB
Jordon Butts,ADE,PTA,2025,9,5,3,3,0,0,0,2,1,0,0,0,0,0,86,29,50,FB
Max Michalanney,ADE,PTA,2025,9,4,3,3,0,0,0,0,0,0,0,0,0,0,84,27,30,HBFR
Daniel Curtin,ADE,PTA,2025,9,2,1,0,2,0,0,0,0,0,0,0,0,0,43,16,22,INT
Dayne Zorko,BRL,NTH,2025,9,29,10,8,2,0,0,1,1,0,0,0,7,7,86,137,166,BPL
Hugh McCluggage,BRL,NTH,2025,9,10,17,5,10,0,0,1,1,0,0,16,0,0,79,117,120,HFFR
Josh Dunkley,BRL,NTH,2025,9,11,16,5,8,0,0,2,1,0,0,20,0,0,84,111,139,RR
Will Ashcroft,BRL,NTH,2025,9,13,13,5,5,0,0,0,0,0,0,12,0,0,82,100,94,INT
Jaspa Fletcher,BRL,NTH,2025,9,16,9,5,1,0,0,1,0,0,0,0,0,0,75,86,90,HBFR
Levi Ashcroft,BRL,NTH,2025,9,15,5,6,1,0,0,0,0,1,1,0,0,0,78,84,77,WL
Ryan Lester,BRL,NTH,2025,9,12,8,6,5,0,0,0,2,0,0,0,0,0,78,84,106,BPR
Cam Rayner,BRL,NTH,2025,9,12,2,5,2,0,0,0,0,3,0,3,0,0,82,81,76,FPL
Darcy Wilmot,BRL,NTH,2025,9,13,7,4,3,0,0,1,0,0,0,0,2,2,83,78,85,INT
Noah Answerth,BRL,NTH,2025,9,14,4,4,3,0,0,0,0,0,0,0,0,0,89,74,73,HBFL
Eric Hipwood,BRL,NTH,2025,9,9,0,8,1,1,2,1,1,3,2,0,0,0,83,74,74,CHF
Jack Payne,BRL,NTH,2025,9,8,5,8,2,0,0,0,0,0,0,0,1,0,98,66,80,FB
Zac Bailey,BRL,NTH,2025,9,9,7,5,0,0,0,1,0,1,1,4,0,0,88,64,78,C
Darcy Fort,BRL,NTH,2025,9,7,4,1,2,24,45,2,1,0,0,10,0,0,76,63,52,FF
Lachie Neale,BRL,NTH,2025,9,6,11,2,5,0,0,0,1,0,0,17,0,0,80,63,81,R
Harris Andrews,BRL,NTH,2025,9,7,7,5,1,0,0,0,1,0,0,0,1,1,98,51,74,CHB
Oscar McInerney,BRL,NTH,2025,9,2,3,1,6,16,58,1,2,0,0,14,0,0,75,50,53,RK
Charlie Cameron,BRL,NTH,2025,9,5,4,4,1,0,0,0,1,1,2,0,0,0,86,44,41,HFFL
Kai Lohmann,BRL,NTH,2025,9,6,2,3,3,0,0,1,1,0,2,0,0,0,81,43,41,INT
Callum Ah Chee,BRL,NTH,2025,9,3,7,2,2,0,0,1,3,1,0,0,0,0,82,35,29,FPR
Darcy Gardiner,BRL,NTH,2025,9,3,4,2,0,0,0,0,1,0,0,0,0,0,53,20,37,SUB
Logan Morris,BRL,NTH,2025,9,1,2,0,3,0,0,2,1,0,1,0,0,0,77,19,24,INT
Jarrod Berry,BRL,NTH,2025,9,1,1,0,0,0,0,0,0,0,0,0,0,0,9,5,3,WR
Harry McKay,CAR,STK,2025,9,13,6,10,3,4,15,3,2,3,0,4,0,0,87,112,133,CHF
Patrick Cripps,CAR,STK,2025,9,12,14,2,10,2,10,0,2,0,2,21,0,0,86,108,102,C
Tom De Koning,CAR,STK,2025,9,11,10,4,1,36,85,1,1,0,1,20,0,0,82,104,104,RK
Jacob Weitering,CAR,STK,2025,9,16,3,14,1,0,0,0,1,0,0,0,1,1,100,97,97,FB
Jack Silvagni,CAR,STK,2025,9,16,1,11,2,0,0,1,0,0,0,0,0,0,94,92,102,FPR
Nick Haynes,CAR,STK,2025,9,15,2,12,0,0,0,0,0,0,0,0,0,0,86,85,105,INT
Sam Walsh,CAR,STK,2025,9,9,12,3,6,0,0,0,0,0,0,14,0,0,81,84,99,INT
George Hewett,CAR,STK,2025,9,7,19,3,4,0,0,2,2,0,0,20,0,0,83,80,100,R
Charlie Curnow,CAR,STK,2025,9,11,1,7,2,0,0,3,2,3,0,0,0,0,95,79,82,FF
Jaxon Binns,CAR,STK,2025,9,13,9,3,2,0,0,1,2,1,1,0,0,0,82,76,65,WL
Cooper Lord,CAR,STK,2025,9,7,5,2,8,0,0,0,0,1,0,8,0,0,48,75,77,SUB
Adam Cerra,CAR,STK,2025,9,12,6,5,2,0,0,1,0,0,0,7,2,2,85,72,83,RR
Elijah Hollands,CAR,STK,2025,9,12,5,7,2,0,0,2,2,0,1,0,0,0,90,72,69,WR
Oliver Hollands,CAR,STK,2025,9,9,6,7,3,0,0,2,1,0,0,0,0,0,83,71,64,HBFL
Blake Acres,CAR,STK,2025,9,13,4,4,3,0,0,0,2,0,0,0,0,0,78,65,60,HFFL
Adam Saad,CAR,STK,2025,9,13,7,2,2,0,0,2,3,0,0,0,5,3,85,60,75,BPL
Corey Durdin,CAR,STK,2025,9,5,2,2,3,0,0,0,0,0,2,0,0,0,71,39,42,FPL
Lewis Young,CAR,STK,2025,9,5,2,3,0,0,0,0,1,2,0,0,0,0,94,37,75,BPR
Lachlan Cowan,CAR,STK,2025,9,5,2,3,2,0,0,0,0,0,0,0,0,0,33,36,33,HBFR
Francis Evans,CAR,STK,2025,9,3,3,0,5,0,0,0,0,0,0,0,0,0,79,35,42,INT
Will White,CAR,STK,2025,9,5,3,1,2,0,0,0,1,1,0,0,0,0,79,35,40,INT
Jesse Motlop,CAR,STK,2025,9,4,2,0,5,0,0,0,2,0,0,2,0,0,87,30,60,HFFR
Mitch McGovern,CAR,STK,2025,9,3,0,2,1,0,0,0,0,0,0,0,0,0,14,19,15,CHB
Jack Crisp,COL,FRE,2025,9,16,13,3,6,0,0,0,0,2,0,19,0,0,84,119,171,INT
Darcy Cameron,COL,FRE,2025,9,10,9,8,3,28,63,1,0,0,0,23,0,0,82,113,113,FF
Jamie Elliott,COL,FRE,2025,9,13,1,8,1,0,0,1,0,6,2,0,0,0,79,108,116,INT
Bobby Hill,COL,FRE,2025,9,10,4,5,3,0,0,2,0,3,1,0,0,0,79,86,98,FPR
Harry Perryman,COL,FRE,2025,9,10,6,6,6,0,0,1,1,0,0,9,0,0,78,82,91,INT
Lachlan Sullivan,COL,FRE,2025,9,11,6,4,5,0,0,0,0,0,1,6,0,0,87,78,76,FPL
Jeremy Howe,COL,FRE,2025,9,16,1,7,2,0,0,0,1,0,0,0,7,7,96,76,78,BPL
Josh Daicos,COL,FRE,2025,9,13,6,5,1,0,0,0,0,0,0,1,2,2,87,70,90,HBFL
Nick Daicos,COL,FRE,2025,9,10,8,2,3,0,0,2,2,1,1,21,0,0,87,67,76,RR
Ned Long,COL,FRE,2025,9,5,7,2,7,0,0,1,1,1,0,20,0,0,71,67,65,R
Billy Frampton,COL,FRE,2025,9,10,5,9,0,0,0,0,1,0,0,0,0,0,96,64,79,CHB
Beau McCreery,COL,FRE,2025,9,10,3,4,5,0,0,1,2,0,0,3,0,0,81,63,80,HFFL
Patrick Lipinski,COL,FRE,2025,9,9,6,3,4,0,0,0,1,0,0,0,0,0,77,61,47,WR
Dan Houston,COL,FRE,2025,9,7,5,3,3,0,0,0,0,0,0,0,2,2,86,52,64,BPR
Mason Cox,COL,FRE,2025,9,5,3,1,3,7,21,2,0,1,0,8,0,0,76,51,48,RK
Tim Membrey,COL,FRE,2025,9,7,5,4,2,0,8,1,2,0,1,0,0,0,84,47,56,CHF
Edward Allan,COL,FRE,2025,9,4,7,2,3,0,0,0,0,0,0,4,0,0,77,44,47,WL
Darcy Moore,COL,FRE,2025,9,5,4,6,1,0,0,0,1,0,0,0,0,0,95,42,67,FB
Isaac Quaynor,COL,FRE,2025,9,5,0,4,2,0,0,1,0,0,0,0,0,0,81,36,38,HBFR
Steele Sidebottom,COL,FRE,2025,9,6,1,2,3,0,0,2,2,0,1,10,0,0,47,35,42,C
Will Hoskin-Elliott,COL,FRE,2025,9,4,3,4,0,0,0,0,1,1,0,0,0,0,79,33,40,INT
Lachie Schultz,COL,FRE,2025,9,4,6,2,2,0,0,1,2,0,0,0,0,0,66,33,60,HFFR
Oleg Markov,COL,FRE,2025,9,0,1,0,1,0,0,0,0,0,0,0,0,0,25,6,5,SUB
Nic Martin,ESS,SYD,2025,9,22,16,8,5,0,0,2,1,0,0,0,1,1,100,141,145,HFFR
Andrew McGrath,ESS,SYD,2025,9,18,17,11,1,0,0,0,0,0,0,0,2,2,88,125,146,BPL
Will Setterfield,ESS,SYD,2025,9,11,17,9,8,0,0,1,1,0,1,19,0,0,78,125,115,RR
Zach Reid,ESS,SYD,2025,9,18,9,14,1,0,0,0,0,0,0,0,3,2,100,118,133,CHB
Jaxon Prior,ESS,SYD,2025,9,17,6,14,2,0,0,2,0,0,0,0,0,0,86,115,93,HBFR
Mason Redman,ESS,SYD,2025,9,19,13,6,0,0,0,1,0,1,0,0,8,6,81,108,121,HBFL
Nate Caddy,ESS,SYD,2025,9,12,4,7,3,0,0,1,1,3,1,0,0,0,70,94,85,CHF
Todd Goldstein,ESS,SYD,2025,9,6,13,6,0,29,73,4,1,0,0,19,0,0,82,92,115,RK
Archie Roberts,ESS,SYD,2025,9,11,16,7,0,0,0,1,0,0,0,0,1,1,78,87,93,WL
Sam Durham,ESS,SYD,2025,9,8,13,2,8,0,0,2,4,1,1,13,0,0,77,85,95,R
Saad El-Hawli,ESS,SYD,2025,9,15,6,6,0,0,0,1,0,1,0,0,0,0,80,82,69,INT
Zach Merrett,ESS,SYD,2025,9,16,3,3,2,0,0,0,1,2,0,11,0,0,86,80,76,C
Xavier Duursma,ESS,SYD,2025,9,11,8,5,4,0,0,1,1,0,0,0,0,0,77,78,95,INT
Jye Caldwell,ESS,SYD,2025,9,8,14,3,4,0,0,1,2,0,0,13,0,0,68,72,61,INT
Archie Perkins,ESS,SYD,2025,9,8,7,3,2,0,0,0,0,1,0,8,0,0,78,61,68,HFFL
Peter Wright,ESS,SYD,2025,9,6,5,5,3,6,14,0,1,0,0,4,0,0,81,58,49,FF
Lewis Hayes,ESS,SYD,2025,9,6,10,3,2,0,0,0,1,0,0,0,0,0,67,52,64,BPR
Ben Hobbs,ESS,SYD,2025,9,5,10,2,2,0,0,1,0,0,0,2,0,0,74,50,43,INT
Kyle Langford,ESS,SYD,2025,9,5,6,2,4,0,1,0,0,0,1,0,0,0,87,50,42,FPL
Ben McKay,ESS,SYD,2025,9,6,6,7,1,0,0,2,3,0,0,0,0,0,100,48,61,FB
Isaac Kako,ESS,SYD,2025,9,3,3,1,3,0,0,1,0,1,0,0,0,0,76,37,30,FPR
Dylan Shiel,ESS,SYD,2025,9,2,3,2,3,0,0,0,0,0,0,3,0,0,20,30,22,SUB
Archer Day-Wicks,ESS,SYD,2025,9,1,5,0,2,0,0,0,0,1,0,0,0,0,65,27,33,WR
Jordan Clark,FRE,COL,2025,9,24,9,8,4,0,0,4,0,0,0,1,2,2,90,134,146,HBFR
Luke Ryan,FRE,COL,2025,9,24,6,12,1,0,0,1,1,0,0,0,5,5,96,122,120,BPL
Andrew Brayshaw,FRE,COL,2025,9,9,25,5,5,0,0,1,0,1,0,28,0,0,86,119,154,R
Shai Bolton,FRE,COL,2025,9,15,13,3,3,0,0,2,1,1,0,16,0,0,85,97,114,C
Luke Jackson,FRE,COL,2025,9,5,14,5,5,17,55,0,1,0,0,19,0,0,85,92,111,RK
Caleb Serong,FRE,COL,2025,9,14,11,3,4,0,1,1,0,0,1,26,0,0,78,91,104,RR
Matthew Johnson,FRE,COL,2025,9,10,12,4,3,0,0,1,1,0,3,3,0,0,85,79,87,WR
Heath Chapman,FRE,COL,2025,9,11,6,6,2,0,0,1,1,0,0,0,0,0,88,69,67,HBFL
Alex Pearce,FRE,COL,2025,9,10,3,7,0,0,0,1,0,1,0,0,0,0,96,64,63,FB
Corey Wagner,FRE,COL,2025,9,7,7,4,5,0,0,0,1,0,0,13,0,0,67,64,61,INT
